symbol,location,latitude,longitude,in_both
MDT,"Dublin, Ireland",53.3498053,-6.2603097,TRUE
MRK,"Whitehouse Station, New Jersey",40.6155663,-74.7702576,TRUE
MET,"New York, New York",36.1023715,-115.1745559,TRUE
MTD,"Columbus, Ohio",39.9611755,-82.9987942,TRUE
MGM,"Paradise, Nevada",36.0971945,-115.1466648,TRUE
MCHP,"Chandler, Arizona",33.3061605,-111.8412502,TRUE
MU,"Boise, Idaho",43.6150186,-116.2023137,TRUE
MSFT,"Redmond, Washington",47.6739881,-122.121512,TRUE
MAA,"Memphis, Tennessee",35.1495343,-90.0489801,TRUE
MHK,"Amsterdam, New York",42.9377453,-74.190356,TRUE
TAP,"Denver, Colorado",39.7392358,-104.990251,TRUE
MDLZ,"Deerfield, Illinois",42.1711365,-87.8445119,TRUE
MNST,"Corona, California",33.8752935,-117.5664384,TRUE
MCO,"New York, New York",36.1023715,-115.1745559,TRUE
MS,"New York, New York",36.1023715,-115.1745559,TRUE
MOS,"Plymouth, Minnesota",45.0105194,-93.4555093,TRUE
MSI,"Schaumburg, Illinois",42.0333607,-88.0834059,TRUE
MSCI,"New York, New York",36.1023715,-115.1745559,FALSE
MYL,"Amsterdam, Netherlands",52.3679843,4.9035614,TRUE
NDAQ,"New York, New York",36.1023715,-115.1745559,TRUE
NOV,"Houston, Texas",29.7604267,-95.3698028,TRUE
NKTR,"San Francisco, California",37.7749295,-122.4194155,TRUE
NTAP,"Sunnyvale, California",37.36883,-122.0363496,TRUE
NFLX,"Los Gatos, California",37.2358078,-121.9623751,TRUE
NWL,"Hoboken, New Jersey",40.7439905,-74.0323626,TRUE
NEM,"Denver, Colorado",39.7392358,-104.990251,TRUE
NWSA,"New York, New York",36.1023715,-115.1745559,TRUE
NWS,"New York, New York",36.1023715,-115.1745559,TRUE
NEE,"Juno Beach, Florida",26.8797819,-80.0533743,TRUE
NLSN,"New York, New York",36.1023715,-115.1745559,TRUE
NKE,"Washington County, Oregon",45.5469616,-123.1386021,TRUE
NI,"Merrillville, Indiana",41.4828144,-87.3328139,TRUE
NBL,"Houston, Texas",29.7604267,-95.3698028,TRUE
JWN,"Seattle, Washington",47.6062095,-122.3320708,TRUE
NSC,"Norfolk, Virginia",36.8507689,-76.2858726,TRUE
NTRS,"Chicago, Illinois",41.8781136,-87.6297982,TRUE
NOC,"West Falls Church, Virginia",38.8645565,-77.1877587,TRUE
NCLH,"Miami, Florida",25.7616798,-80.1917902,TRUE
NRG,"Princeton, New Jersey",40.3572976,-74.6672226,TRUE
NUE,"Charlotte, North Carolina",35.2270869,-80.8431267,TRUE
NVDA,"Santa Clara, California",37.3541079,-121.9552356,TRUE
ORLY,"Springfield, Missouri",37.2089572,-93.2922989,TRUE
OXY,"Los Angeles, California",34.0522342,-118.2436849,TRUE
OMC,"New York, New York",36.1023715,-115.1745559,TRUE
OKE,"Tulsa, Oklahoma",36.1539816,-95.992775,TRUE
ORCL,"Redwood Shores, California",37.5364134,-122.2455364,TRUE
PCAR,"Bellevue, Washington",47.6101497,-122.2015159,TRUE
PKG,"Lake Forest, Illinois",42.2586342,-87.840625,TRUE
PH,"Cleveland, Ohio",41.49932,-81.6943605,TRUE
PAYX,"Penfield, New York",43.1303407,-77.475551,TRUE
PYPL,"San Jose, California",37.3382082,-121.8863286,TRUE
PNR,"Worsley, UK",53.50754,-2.391199,TRUE
PBCT,"Bridgeport, Connecticut",41.1792258,-73.1894384,TRUE
PEP,"Purchase, New York",41.0400135,-73.7144477,TRUE
PKI,"Waltham, Massachusetts",42.3764852,-71.2356113,TRUE
PRGO,"Dublin, Ireland",53.3498053,-6.2603097,TRUE
PFE,"New York, New York",36.1023715,-115.1745559,TRUE
PM,"New York, New York",36.1023715,-115.1745559,TRUE
PSX,"Houston, Texas",29.7604267,-95.3698028,TRUE
PNW,"Phoenix, Arizona",33.4483771,-112.0740373,TRUE
PXD,"Irving, Texas",32.8140177,-96.9488945,TRUE
PNC,"Pittsburgh, Pennsylvania",40.4406248,-79.9958864,TRUE
PPG,"Pittsburgh, Pennsylvania",40.4406248,-79.9958864,TRUE
PPL,"Allentown, Pennsylvania",40.6022939,-75.4714098,TRUE
PFG,"Des Moines, Iowa",41.5868353,-93.6249593,TRUE
PG,"Cincinnati, Ohio",39.1031182,-84.5120196,TRUE
PGR,"Mayfield Village, Ohio",41.5519952,-81.4392828,TRUE
PLD,"San Francisco, California",37.7749295,-122.4194155,TRUE
PRU,"Newark, New Jersey",40.735657,-74.1723667,TRUE
PEG,"Newark, New Jersey",40.735657,-74.1723667,TRUE
PSA,"Glendale, California",34.1425078,-118.255075,TRUE
PHM,"Atlanta, Georgia",33.7489954,-84.3879824,TRUE
PVH,"New York, New York",36.1023715,-115.1745559,TRUE
QRVO,"Greensboro, North Carolina",36.0726354,-79.7919754,TRUE
PWR,"Houston, Texas",29.7604267,-95.3698028,TRUE
QCOM,"San Diego, California",32.715738,-117.1610838,TRUE
DGX,"Madison, New Jersey",40.7598227,-74.417097,TRUE
RL,"New York, New York",36.1023715,-115.1745559,TRUE
RJF,"St. Petersburg, Florida",27.7676008,-82.6402915,TRUE
RTN,"Waltham, Massachusetts",42.3764852,-71.2356113,TRUE
O,"San Diego, California",32.715738,-117.1610838,TRUE
RHT,"Raleigh, North Carolina",35.7795897,-78.6381787,TRUE
REG,"Jacksonville, Florida",30.3321838,-81.655651,TRUE
REGN,"Tarrytown, New York",41.0762077,-73.8587461,TRUE
RF,"Birmingham, Alabama",33.5185892,-86.8103567,TRUE
RSG,"Phoenix, Arizona",33.4483771,-112.0740373,TRUE
RMD,"San Diego, California",32.715738,-117.1610838,TRUE
RHI,"Menlo Park, California",37.4529598,-122.1817252,TRUE
